,ImageId,PredictionString,NumCars,DetectedCars,TP,FP,FN,CSI
1436,ID_d8f37de33,35 0.135527 -3.12614 3.13939 -8.4853 3.58637 14.8738 8 0.171545 3.11115 3.12818 -8.35058 4.11915 20.1779 35 0.151787 -3.05705 3.13882 -8.93061 5.59033 27.9544 12 0.174233 3.0824 -3.11951 -8.05667 5.79049 30.9778 71 0.173989 -3.10355 -3.13491 -5.15953 6.2336 31.9052 43 0.10463 -3.1017 -3.09451 -4.31402 8.65554 47.8633 35 0.14401 2.45376 -3.13641 13.5031 6.76153 30.9816 28 0.160374 -0.0203539 -3.06317 5.52343 6.43708 29.4655 16 0.17424 -3.00092 -3.11951 -9.01191 7.36545 39.8593 16 0.160374 -0.102519 -3.06317 3.64643 6.42142 31.574 16 0.160374 0.101904 -3.06318 5.12602 8.04143 40.6779 16 0.171547 0.133621 3.12817 -30.1894 11.1532 73.2872,12,14,10,4,2,0.625
3363,ID_e14dc9090,35 0.160162 -3.09244 -3.12668 -8.45675 4.55574 21.4563 71 0.123506 3.11702 3.10944 -9.84653 6.47872 32.0966 8 0.173476 3.10457 -3.12624 -8.84034 6.38212 34.1583 8 0.168555 3.10548 -3.10572 -8.72048 8.16214 45.5361 43 0.0718826 -3.12485 -3.12721 -10.9268 15.8483 94.0589 19 0.136206 -3.12162 3.141 -6.46326 16.6933 101.379 9 0.0848192 0.0185219 -3.03876 1.19815 11.719 68.0486 35 0.134112 0.0624211 -3.03327 4.75327 10.4985 54.7627 28 0.16005 -0.0137103 -3.05582 5.19658 9.02443 44.6515 76 0.108503 0.0497142 -3.06546 4.69754 4.81787 20.6265 28 0.150883 0.0154801 -3.07501 5.30327 3.2791 10.6615 50 0.239774 0.0241744 -3.06822 -38.0525 15.5752 99.706 12 0.157796 -2.90132 -3.13547 -32.4485 11.9624 79.5444 16 0.168547 -3.09295 -3.10572 -8.98967 7.64861 40.8301 46 0.168553 -3.14121 -3.10572 -11.4278 12.3234 68.419 46 0.168554 -3.1037 -3.10572 -11.401 12.9667 73.0079 46 0.0718834 3.11842 -3.12721 -12.8078 21.1106 126.705,17,20,15,5,2,0.682
1121,ID_ad0b4b072,71 0.145862 -0.0458188 -3.10295 -3.76934 5.26765 24.9068 66 0.139913 -0.0212214 -3.13617 -3.55196 7.70267 41.7673 28 0.123818 -0.0253549 -3.06668 -23.3938 7.93367 48.7072 9 0.0850913 -0.045437 -3.14006 -30.661 11.9586 85.1358 8 0.0862691 3.01952 -3.08966 -67.0207 12.0668 94.1777 71 0.139757 0.403692 -3.13303 -1.38567 11.9721 74.7889 16 0.139757 -0.00619004 -3.13304 -0.566105 13.614 92.0751 46 0.139912 0.442557 -3.13617 -4.99426 11.4903 70.5658 16 0.139913 -0.0419194 -3.13617 -3.18296 11.8907 79.0402,9,10,8,2,1,0.727
3855,ID_84a933419,7 0.122809 -0.0567633 -3.06532 -5.94309 4.15906 20.9493 70 0.174596 0.0330452 -3.07229 -3.90557 6.03659 31.1837 6 0.1289 0.0014477 -3.02899 -14.1184 6.78828 39.9921 71 0.155297 -0.0193507 -3.11049 -17.2525 9.54523 61.1404 51 0.154515 -0.0142431 -3.09571 -21.7671 13.3742 87.529 16 0.174596 0.0381092 -3.07229 -0.89277 6.22121 31.6493 16 0.174596 0.0639027 -3.0723 -1.95612 8.03231 45.2989 46 0.174596 0.0708168 -3.07229 -16.1941 15.1357 99.2179 46 0.174595 -0.2182 -3.07229 -20.2569 22.9474 160.992 16 0.174596 -0.0575088 -3.07229 -14.9988 20.2363 137.901,10,7,6,1,4,0.545
2419,ID_d2ac994f2,61 0.158288 -0.0159742 -2.80214 -28.238 9.69358 40.6278 70 0.17714 -0.00148313 -3.09017 -31.3701 15.4984 66.18 9 0.120787 -0.1002 -3.03811 -25.3334 14.8863 63.9901 46 0.120787 -0.00369265 -3.03811 -11.2349 10.4557 39.8851 16 0.120787 0.0555341 -3.0381 -10.3604 18.0953 93.4492 16 0.158288 -0.183871 -2.80213 -25.8782 9.56214 34.707,6,9,5,4,1,0.5
715,ID_ce8688caa,66 0.167899 -0.0733725 -3.07837 4.13361 3.31574 10.0688 37 0.174444 0.00700869 -3.07251 5.90295 5.49502 21.8714 35 0.176926 -0.0159377 -3.03722 6.1139 6.84292 29.0809 2 0.175071 -3.11946 -3.13891 -9.34014 3.41217 15.6785 51 0.154659 3.05954 -3.05765 11.7427 5.2253 18.1508 16 0.176926 -0.083957 -3.03723 5.62712 7.12304 31.7609 16 0.176925 -0.307881 -3.03723 5.16415 7.92576 37.5662 16 0.176925 0.0171813 -3.03722 0.217014 5.3813 24.3567 16 0.176926 0.0114921 -3.03723 -1.98608 5.64551 26.7266 16 0.176926 0.221188 -3.03723 -2.89456 8.86207 45.77 46 0.176926 0.178045 -3.03723 -2.96123 11.4649 62.3989 46 0.167902 3.13995 -3.07837 12.7073 6.59345 26.9895 43 0.173498 3.0662 -3.07013 10.1399 6.39627 27.4855 16 0.167896 1.58996 -3.07837 11.0154 5.99483 27.8484 46 0.176928 1.85854 -3.03723 17.4687 14.5073 74.3439,15,11,11,0,4,0.733
621,ID_f6b08db36,66 0.113769 3.09287 -3.13702 -5.13038 2.84936 9.49 9 0.211039 0.543052 3.09918 -7.75357 5.01369 24.9907 35 0.15781 -3.12114 -3.11881 -4.98344 5.51542 25.8772 19 0.159154 -3.11938 -3.1034 -5.30427 9.40535 51.3569 46 0.192968 -3.12904 -3.13896 -10.0372 13.395 73.5996 19 0.15699 0.0725305 -3.08943 2.90335 10.722 55.9904 35 0.127176 0.0910149 -3.05175 2.49389 13.0915 70.4296 16 0.192976 -3.08274 -3.13896 -8.1266 8.69779 46.9475 46 0.159157 3.12346 -3.1034 -7.09707 18.6717 107.391 2 0.127176 0.0748047 -3.05175 -0.622802 5.62669 26.4047 16 0.156989 -1.49849 -3.08944 16.1865 5.53396 21.6199 46 0.159162 -3.08976 -3.1034 -7.27299 15.3454 84.9436,12,14,9,5,3,0.529
3499,ID_154c9880a,28 0.133416 0.0277173 -3.1186 5.33216 4.12277 14.7461 8 0.140138 -0.0563431 -3.06111 4.82754 4.54857 19.6858 31 0.1445 -0.0563253 -3.00339 4.93415 5.79303 25.7277 28 0.153145 -0.00926491 -3.03939 5.15602 6.98518 33.2313 70 0.151382 0.0034328 -3.07433 0.357856 5.61349 25.2289 46 0.183384 -2.6957 -3.09476 -3.70832 8.89021 49.1387 66 0.137747 3.06166 3.13655 -9.56834 6.66955 34.847 70 0.151666 3.10959 -3.08783 -9.02554 6.97125 38.807 61 0.156772 0.833771 -3.04507 5.83766 7.97638 42.2034 16 0.156772 -0.0732032 -3.04507 4.64823 9.56416 53.0014 6 0.13783 3.06669 -3.14036 -9.89342 3.54567 13.9921 46 0.151667 -3.11202 -3.08783 -9.41486 8.39841 47.7466 16 0.151669 -3.08573 -3.08783 -7.55531 7.67189 44.2244 46 0.151663 3.1409 -3.08783 -9.83758 11.3269 66.4087,14,15,13,2,1,0.812
1028,ID_8bfd3a788,66 0.156785 -0.0138017 -3.10632 3.58199 5.92187 25.9786 28 0.13614 0.0253206 -3.13285 13.521 7.67434 33.8659 46 0.232102 3.1003 -3.11604 -9.25969 25.5726 148.025 46 0.232101 -0.0728494 -3.11604 3.58285 19.2772 106.113 47 0.232648 0.0215553 -3.12175 -0.933422 18.9736 106.191 46 0.136142 1.12166 -3.13285 25.0832 9.32947 43.8892 16 0.136136 1.66933 -3.13284 20.6678 10.9644 55.0862 16 0.13614 1.61764 -3.13285 21.1733 12.1837 62.5463,8,8,5,3,3,0.455
265,ID_91b2a1bb9,16 0.106432 -0.0475913 -3.12719 -18.0807 8.21909 48.843 16 0.109255 0.202295 -3.12206 -50.1257 14.8989 103.403 43 0.127215 0.40304 -3.12321 -42.1782 11.6456 79.8276 2 0.106432 1.92554 -3.12719 -16.1358 9.03322 54.8742 2 0.106433 0.537916 -3.12719 -40.5403 15.3601 104.931 16 0.109255 0.407193 -3.12206 -22.715 8.38268 51.7367 16 0.109255 0.364816 -3.12207 -34.0967 12.372 80.5934 46 0.109256 0.697839 -3.12207 -48.5011 15.067 104.177,8,8,5,3,3,0.455
0,ID_8a6e65317,16 0.254839 -2.57534 -3.10256 7.96539 3.20066 11.0225 56 0.181647 -1.46947 -3.12159 9.60332 4.66632 19.339 70 0.163072 -1.56865 -3.11754 10.39 11.2219 59.7825 70 0.141942 -3.1395 3.11969 -9.59236 5.13662 24.7337 46 0.163068 -2.08578 -3.11754 9.83335 13.2689 72.9323,5,4,4,0,1,0.8
1553,ID_bb6f03de3,37 0.163965 0.0358256 -3.07422 11.6965 5.0889 19.7287 31 0.14861 0.0104626 -3.1249 12.0908 6.22911 26.2777 35 0.168154 0.0455555 -3.10573 12.0851 7.11611 31.683 28 0.125357 -0.0053372 -3.1163 12.5178 8.34284 39.0072 40 0.13831 0.0747942 -3.11009 11.6283 9.08736 43.8333 66 0.175135 0.00984175 3.13991 13.2445 11.4009 56.5556 35 0.190921 0.0433467 -3.08334 11.6868 11.1367 55.8459 70 0.0909953 0.0211412 -2.92081 13.6122 19.4079 105.324 28 0.160428 0.0227502 -3.09954 3.0432 4.52607 17.5722 60 0.13445 0.0620764 -3.09465 -6.04664 17.1629 96.6088 70 0.133412 0.0197447 -3.10576 -3.69263 7.05338 36.1397 37 0.138751 -0.00627482 -3.06827 -3.28339 2.99448 10.0094 2 0.190921 0.122523 -3.08333 12.2796 12.6357 64.8543 16 0.190921 0.152203 -3.08334 10.9473 12.5064 65.1059 2 0.190921 0.00127527 -3.08333 11.5547 14.1104 74.7628 46 0.190921 -0.0290001 -3.08334 12.5792 16.3063 87.4361 16 0.13445 -0.00785521 -3.09465 0.0662941 7.91687 41.7441 2 0.13445 0.0541935 -3.09465 1.14129 14.202 76.4716 47 0.134352 0.806944 -3.09437 -3.8499 16.0921 88.7712 16 0.13445 0.0582554 -3.09465 -5.54662 19.8786 114.015 16 0.163964 0.139644 -3.07422 14.5573 5.30558 17.4931,21,15,14,1,7,0.636
3247,ID_c0c3ed37b,66 0.106314 3.12296 -3.12868 -4.12485 2.81304 10.1796 56 0.167941 3.11003 3.14122 -4.22653 5.97206 28.1117 28 0.186394 -0.047105 -3.0683 5.43027 8.11721 38.0234 28 0.180554 0.0395394 -3.08773 5.27926 11.1675 55.4828 2 0.167946 3.09526 3.14122 -3.99836 3.96589 17.6117 2 0.167937 3.10943 3.14122 -3.66015 6.54042 31.9131 46 0.167939 3.00392 3.14122 -8.62747 25.3346 136.533 40 0.180292 0.000541705 -3.08686 4.84323 7.81291 37.4038 16 0.180554 0.0206316 -3.08774 5.63497 19.7177 101.25 16 0.180554 -0.130521 -3.08774 3.76818 17.8715 92.3549 46 0.186393 -1.81505 -3.06831 16.1252 14.8993 71.9382 2 0.186395 -1.44964 -3.0683 16.4705 15.1428 71.8311,12,14,9,5,3,0.529
1234,ID_55cbb4a20,28 0.159369 -0.0440287 -3.0868 -6.88756 3.15031 12.1739 28 0.149404 -0.029568 -3.09183 -2.81274 4.48814 18.9446 47 0.209939 -0.0191109 -3.10017 -4.5231 7.7494 39.1745 76 0.189821 -0.0729367 -3.08792 -27.7508 11.1283 66.9092 46 0.209939 -0.115627 -3.10017 1.31751 19.3427 104.24 16 0.18982 0.0275934 -3.08793 -32.1221 15.8846 95.2501,6,9,4,5,2,0.364
302,ID_8436ab711,35 0.178928 0.0697336 -3.09464 13.3419 11.5256 56.3768 28 0.189428 -0.0643558 -3.06914 19.6266 7.39993 30.0014 28 0.172705 -0.074954 -3.09 20.6153 9.14407 39.8433 46 0.178929 -0.0171745 -3.09464 3.27353 5.66449 25.3123 16 0.178929 0.0452355 -3.09465 -1.40166 10.7337 58.6634 16 0.178929 -0.00696463 -3.09464 -4.81541 14.2849 82.2345 46 0.178928 -0.0706307 -3.09465 4.97938 17.2407 97.5534,7,10,7,3,0,0.7
3275,ID_3f1c8f602,28 0.16685 0.0119207 -3.08128 -3.73997 3.56863 13.9582 28 0.12411 -0.0283079 -3.07463 -6.39498 5.12714 25.4773 27 0.140782 -3.13903 3.11342 -29.0891 12.7665 81.7659 16 0.12411 0.040902 -3.07464 -5.19817 8.4029 46.3789 27 0.132702 2.53721 3.08669 -42.1749 9.23065 59.9867 46 0.132705 -3.1308 3.08669 -29.7296 7.80323 48.7999 2 0.132706 -3.09769 3.08669 -21.6041 6.26179 38.9796 16 0.12411 0.0326153 -3.07464 10.6568 4.50318 16.7025 16 0.12411 0.220482 -3.07464 6.60446 6.72193 32.6967,9,13,7,6,2,0.467
2282,ID_a15cf6f97,28 0.12297 0.0996578 -3.09902 -14.4622 4.8623 26.1636 27 0.255901 0.731112 3.11887 -31.3157 11.1122 69.6087 37 0.134843 -3.01126 -3.10053 -19.0708 7.65536 45.9281 9 0.141741 -3.01702 -3.08227 -22.5235 9.68717 59.9471 7 0.148192 0.509667 -3.1165 -12.1293 6.03791 35.9699 28 0.129914 0.0427947 -3.07715 -10.2995 5.97932 32.5443 43 0.104269 -3.00778 -3.04343 -18.9719 11.0721 68.9257 2 0.127765 0.0110344 -3.09367 -6.63203 5.54367 29.5655 37 0.119445 0.486664 -3.07754 -1.74025 9.06882 50.4814 43 0.144255 0.0461384 -3.11704 5.30044 10.8424 59.0648 14 0.119166 3.10553 -3.07971 12.952 9.81063 51.5156 70 0.142318 0.0113762 -3.07995 16.9751 10.5398 54.743 76 0.115933 -0.100826 -3.11803 26.8496 11.5589 57.8623 16 0.12297 0.0501877 -3.09902 -12.3666 3.50334 17.3908 46 0.104265 -3.07538 -3.04343 -20.2431 10.8407 66.0532 6 0.10691 -3.05351 -3.04632 -16.0125 9.12726 54.5833 16 0.104266 0.0608269 -3.04343 -10.4251 7.25157 43.7454 46 0.127765 0.0995763 -3.09366 -7.4274 9.63016 56.3355 46 0.127769 -1.66005 -3.09366 -16.9458 15.0975 91.6439 16 0.144256 0.145501 -3.11704 4.41009 11.2672 62.8824 2 0.144256 0.0996679 -3.11703 4.16618 12.6795 72.5231 61 0.123877 0.481988 -3.08982 20.0385 17.7754 99.86 46 0.142318 0.652785 -3.07995 31.6713 17.5122 90.4955 16 0.115931 1.42254 -3.11802 19.2126 7.58659 35.0181 16 0.115933 1.29544 -3.11803 18.0997 6.39605 28.8182 7 0.116068 1.28703 -3.11869 21.4327 7.29051 32.1126,26,20,17,3,9,0.586
963,ID_985f64602,28 0.170416 -0.00693111 -3.10386 14.3691 6.35867 24.8171 51 0.19277 -0.0418833 -3.09794 15.1486 7.47976 31.416 8 0.203245 0.00443844 -3.01004 15.7122 9.04738 39.5535 35 0.188842 0.0507059 -3.10891 13.4371 8.62471 39.1636 14 0.196 0.133104 -3.07594 13.9585 9.70677 46.5939 35 0.150014 3.12564 3.11284 -24.1054 7.27815 39.1902 35 0.172289 -3.12476 -3.12606 -22.6278 7.95441 44.1612 18 0.148407 3.08728 -3.11589 -14.6752 7.78402 38.9398 37 0.20713 -2.72806 -3.1271 -20.9054 8.24567 46.1262 31 0.143233 3.1152 -3.09927 -24.8714 10.79 60.269 47 0.142772 -3.13756 -3.11474 -8.21891 8.42334 42.3242 14 0.214027 3.12941 -3.11535 -9.36376 11.7509 65.1612 16 0.196 0.0923092 -3.07594 13.4158 10.3156 49.4412 16 0.150018 -3.07335 3.11284 -19.7665 5.1433 26.9499 16 0.150018 -3.12746 3.11284 -25.5885 6.91966 39.4104 16 0.148404 -3.13102 -3.11589 -22.1873 11.3358 64.1297 2 0.196 0.0331259 -3.07594 14.1144 15.6259 81.6519 16 0.142774 -3.11812 -3.11474 -9.59875 7.9531 41.8861 16 0.214033 -3.14111 -3.11535 -8.92695 14.5943 82.5622,19,19,14,5,5,0.583
3765,ID_d5e4c6472,50 0.224109 0.0254762 -3.09958 2.72686 7.95452 38.8007 46 0.159561 -2.42807 -3.04789 -15.3829 7.28981 41.164 18 0.251567 1.29568 -3.05218 4.94158 5.12806 20.5534 27 0.125964 -3.10397 -3.07683 15.3087 7.41071 37.2796 60 -0.0377834 2.95884 3.11878 26.3272 11.0717 58.8015 8 0.179481 3.13011 -3.14075 12.005 6.44101 32.6776 12 0.123591 3.1187 -3.08502 -8.70396 16.0336 93.2452 60 0.180824 -2.14404 -3.09403 -15.3311 10.4199 59.7202 35 0.150599 -2.67584 -3.08311 -14.2827 10.3471 60.2608 16 0.224109 0.00726868 -3.09958 -0.146255 4.84513 20.8274 16 0.224109 -0.124999 -3.09958 -0.562851 7.93341 41.258 54 0.223908 -4.44573e-05 -3.0985 2.45199 8.25343 41.5391 16 0.223907 0.0147577 -3.0985 2.00456 9.45291 48.818 46 0.223908 -0.0650794 -3.0985 2.12909 17.2228 91.8655,14,10,6,4,8,0.333
197,ID_e409c480a,35 0.150422 2.99345 -3.11224 -3.48046 7.63574 39.3374 35 0.159476 0.154551 -3.07829 7.75973 8.03913 38.0859 47 0.117027 2.91962 -3.13047 16.5599 9.72818 47.8923 50 0.172459 -1.62818 -3.09708 21.8297 8.9153 43.063 66 0.148797 -0.0401636 3.12882 7.85236 9.29286 46.6372 2 0.150426 2.53155 -3.11223 -8.68134 3.21327 12.3334 16 0.150421 2.51157 -3.11224 -8.04592 3.31811 13.8741 46 0.15042 2.9122 -3.11224 -5.92755 7.82152 39.1454 46 0.148796 -0.218655 3.12882 3.66078 8.09994 40.8744 16 0.150428 -3.13358 -3.11224 -2.62492 7.41894 40.1663,10,15,10,5,0,0.667
214,ID_959e6f8db,28 0.122849 -0.0109153 -3.10082 -3.22766 3.12225 11.847 66 0.281415 0.543265 3.12307 -11.3419 6.7935 37.2022 54 0.191054 0.33288 -3.06653 -8.2943 17.455 107.692 37 0.0892678 -3.04866 -3.1193 -11.9609 12.4996 75.5991 43 0.0672488 3.1309 -3.07279 -8.38213 8.12338 45.2919 16 0.191055 0.0300514 -3.06653 1.17062 11.7289 67.5186 16 0.191054 0.106829 -3.06653 -4.54429 11.5822 68.0966 9 0.281137 0.480906 -3.11912 -9.47572 6.9334 36.4569 46 0.191054 -3.10912 -3.06653 -9.64522 14.7555 89.1945 2 0.191055 -2.29468 -3.06653 0.849123 15.3482 94.4004,10,8,4,4,6,0.286
2773,ID_5b74acb83,28 0.188315 0.0207224 -3.06112 -3.37029 2.38101 6.83309 28 0.144661 0.0614669 -3.09268 1.98395 4.08432 15.0807 28 0.151239 0.0249186 3.06135 11.8917 4.76378 17.7913 35 0.148961 0.0475299 -3.06734 11.3848 5.50382 21.968 6 0.131018 0.122466 3.1354 10.5755 5.74363 25.7119 12 0.161359 -0.0305008 -3.07897 9.12787 5.90866 25.33 14 0.164103 0.028731 -3.08663 10.3164 6.44548 30.2745 2 0.164104 0.00509994 -3.08662 12.5756 8.57207 40.7763,8,12,8,4,0,0.667
1152,ID_0dd0d5ace,37 0.161767 3.08166 -3.09848 -14.0839 4.97636 26.6246 43 0.137672 3.10939 -3.10533 -16.568 8.54658 50.3284 27 0.148312 3.0854 -3.108 -16.2692 12.273 73.6189 16 0.148317 -0.097787 -3.10799 0.995509 6.87373 35.4759 16 0.148316 -0.0344439 -3.108 -0.279056 9.89043 54.9539 2 0.148316 -0.0204436 -3.108 -3.16892 9.53221 55.0976 46 0.148316 0.0340138 -3.108 6.39164 7.35544 38.2337 2 0.148318 1.3756 -3.108 9.9856 20.8188 124.583 16 0.161773 -3.14142 -3.09848 -13.7729 3.5407 18.3576 16 0.137667 2.9325 -3.10533 -15.0573 8.65737 51.4509 16 0.13767 -3.10677 -3.10533 -14.972 9.19629 55.4103 46 0.148318 2.87997 -3.108 -22.4237 18.0018 110.186,12,12,8,4,4,0.5
4060,ID_1741a2d8c,31 0.192351 -0.142861 -3.12651 3.04963 3.42309 13.4125 28 0.134314 -0.00707162 -3.13555 3.22622 2.8308 7.3162 61 0.091658 0.0522631 -3.07375 5.65794 3.50802 13.542 35 0.150787 3.09297 -3.08141 -14.7344 5.62219 30.9722 76 0.183392 -0.258956 -3.02325 21.4756 8.02206 34.3585 46 0.134314 -0.00707162 -3.13555 0.857178 2.998 10.2447 6 0.134314 -0.00707162 -3.13555 9.9033 4.93114 17.4632 16 0.150784 -3.10327 -3.08141 -13.2501 3.1452 17.8744,8,7,5,2,3,0.5
1653,ID_9f2fa817d,28 0.170762 0.0296627 -3.05639 3.34321 3.00631 7.78964 50 0.166985 -0.0200913 -3.06327 12.8047 5.90743 23.1884 16 0.177716 -0.0277349 -3.10827 11.3504 6.19815 26.2592 16 0.155958 0.0749128 -3.13721 10.7709 6.82009 30.5961 2 0.189329 -0.0463232 -3.13824 9.80366 8.99659 43.6068 16 0.166985 0.067118 -3.06327 10.896 4.25508 14.5293 16 0.155959 0.0471851 -3.1372 10.7 7.48512 34.8184 46 0.155959 0.201038 -3.13721 13.5539 10.4279 51.2939 16 0.189328 -0.0422281 -3.13823 2.46509 11.6587 60.6153 46 0.189327 2.6998 -3.13824 -38.6762 10.3669 55.523,10,12,9,3,1,0.692
2692,ID_20d155a1c,9 0.152912 2.93066 -3.04127 -7.06564 3.04444 14.0306 66 0.113416 2.84566 -3.09562 -14.9435 4.69508 23.3502 50 0.0923217 3.02468 -3.09466 -7.8949 6.05583 31.9106 28 0.199668 2.91609 -3.0672 -4.53818 6.16803 29.8204 50 0.182401 -0.0841847 -3.04414 15.3619 6.39987 24.8606 46 0.187661 -0.167179 -3.02365 17.7819 9.09278 39.9127 50 0.22584 -0.162622 -3.00711 22.7387 12.2192 54.8891 46 0.194341 -0.216738 -3.03603 19.187 10.722 49.2425 76 0.172128 0.00714924 -3.081 32.5497 21.4509 108.316 46 0.0923263 2.8842 -3.09466 -12.9644 6.4961 33.2625 2 0.199669 2.94631 -3.0672 -5.95945 9.43607 51.7081 16 0.199666 2.9412 -3.0672 -1.55999 7.8506 39.784 46 0.182401 -0.140125 -3.04414 13.9787 5.26145 18.5819 16 0.182401 -0.254333 -3.04414 16.14 7.48713 29.9099 16 0.194341 -0.14927 -3.03604 20.0334 11.6749 53.6815 46 0.00683343 0.024495 2.95963 29.4253 17.7776 85.8759 46 0.00683343 0.024495 2.95963 29.4253 17.7776 85.8759,17,17,12,5,5,0.545
4041,ID_c850ff020,35 0.156613 -3.11901 3.13344 -5.21815 2.57431 9.25695 70 0.150794 3.06572 -3.10563 -6.03843 6.01483 28.4163 19 0.141684 0.220419 -3.11073 -2.47564 4.83229 21.299 27 0.181349 -3.11946 -3.11646 -11.0672 14.1219 78.1843 46 0.237005 3.11918 -3.12188 -5.47022 16.8157 93.1828 76 0.190949 0.00868579 -3.10271 6.31626 7.90596 37.2982 6 0.151547 -3.10585 -3.10897 -7.64416 5.67773 28.9657 16 0.190949 0.0336121 -3.10271 5.01043 7.25417 35.3023 16 0.151547 0.612249 -3.10897 -20.3242 9.16427 51.9841 2 0.190949 0.121255 -3.10271 11.8673 8.7294 42.7578,10,11,8,3,2,0.615
4254,ID_a0d2d33a3,28 0.210507 0.00666331 -3.10402 5.7906 3.64692 11.9583 35 0.181822 -0.0265675 -3.09994 5.7022 4.82195 18.4096 70 0.150203 0.0250145 -3.14072 6.07393 5.7542 25.4426 43 0.22948 0.0373735 -3.09051 5.21773 6.99836 33.9587 16 0.147946 0.0136789 -3.07598 -3.18121 4.13884 17.7518 70 0.151404 0.0266622 -3.06657 -15.1937 4.66022 23.9823 61 0.167331 -0.00820887 -3.09043 -17.055 8.34787 47.8772 14 0.210571 0.000456935 -3.10439 4.94275 1.99301 5.40362 46 0.22948 0.214131 -3.09051 4.71679 10.1905 50.73 16 0.229481 -0.0212531 -3.0905 4.71529 14.2629 76.6746 7 0.225821 -0.00011162 -3.07599 -0.968328 9.89672 52.9544 46 0.225822 -0.577016 -3.07599 -3.90185 23.9474 141.443 46 0.225822 0.0435765 -3.07599 -5.96715 19.869 113.398 16 0.225822 0.0416408 -3.07599 -3.78847 8.92425 46.556 46 0.167332 -0.202786 -3.09043 -12.7848 9.02811 51.3183 2 0.181822 0.197708 -3.09995 6.872 4.60411 21.2685 70 0.174888 -0.548846 -3.1389 -24.5941 21.2918 128.668 60 0.174835 -0.0622295 -3.1365 -18.2226 16.7925 97.9968,18,13,10,3,8,0.476
3991,ID_844a433ba,66 0.185707 -1.53217 -3.00126 -15.0378 3.95097 19.9795 28 0.143717 -0.171006 -3.09756 0.181015 3.67185 14.3351 28 0.116098 -0.834902 -3.1146 -0.384412 5.06364 25.2346 28 0.0919584 -0.811286 -3.09236 3.45626 5.46216 25.4551 70 0.145461 -0.818303 -3.13761 9.05304 6.63384 36.6586 37 0.113622 -0.910402 -3.12466 8.81738 5.94598 29.9416 46 0.159902 -0.398335 3.09599 17.3455 9.41665 51.8964 16 0.185703 -0.058474 -3.00126 -2.68212 1.6239 3.06543 50 0.20602 -1.02931 -3.03356 -7.42123 4.09831 18.6327,9,9,7,2,2,0.636
3947,ID_22bad17a3,40 0.202088 -0.0450416 -3.06683 2.97904 3.26238 10.8574 16 0.1389 0.287043 3.11891 7.5563 9.06096 46.9053 9 0.0815796 2.90669 -3.08939 -15.676 19.2011 109.291 2 0.1389 0.0822302 3.11891 2.10911 10.0481 54.8916 16 0.1389 0.0121182 3.1189 5.79766 14.8567 84.6203 16 0.138899 -0.0545987 3.11891 -0.225462 19.3219 115.514,6,5,5,0,1,0.833
2,ID_a381bf4d0,43 0.162877 0.00519276 -3.02676 2.1876 3.53427 13.3436 51 0.158577 0.158274 -3.06328 2.07558 12.2943 65.3173 35 0.165934 0.608676 -3.11434 17.0381 9.29676 46.2082 18 0.203947 0.785978 -3.09077 8.91099 10.3547 53.1728 8 0.151796 0.39656 -3.04874 4.5926 8.39404 43.8599 35 0.168738 -3.07809 3.14156 -5.16107 3.31526 13.0684 16 0.153907 -3.10425 3.13187 -10.1679 4.77389 23.9775 46 0.198176 -3.05556 -3.12274 -5.78513 5.5546 28.7511 71 0.133551 -3.09861 3.13331 -13.5746 8.73601 46.872 46 0.19931 -2.96848 -3.03849 -15.1259 25.5187 149.73 16 0.158577 0.0501459 -3.06328 -0.327945 4.52108 20.3165 6 0.19946 0.22768 -3.03878 -3.32415 9.91577 53.6321 16 0.199314 0.0469982 -3.03849 -5.66794 14.0443 79.0041 16 0.199461 0.165179 -3.03878 -3.89758 15.2622 86.8372 46 0.199461 0.311656 -3.03879 -4.12993 21.3742 122.086 16 0.158577 -0.0785882 -3.06327 1.09611 12.5925 69.3307 2 0.199461 0.177558 -3.03878 -0.875121 21.4044 122.087 16 0.165931 -2.24401 -3.11434 19.0829 7.88789 37.2926 16 0.203947 0.29008 -3.09076 9.99355 9.19239 47.2033 16 0.158573 2.53113 -3.06328 3.59664 10.4137 55.5836 16 0.199461 0.0886425 -3.03878 -2.79895 19.487 112.592 16 0.153906 -3.06239 3.13187 -9.88157 3.35314 14.4199 16 0.133556 -3.00358 3.1333 -11.7902 6.30143 33.1739 2 0.133558 3.11855 3.1333 -14.4675 10.5948 59.7663 16 0.199312 -3.00664 -3.03849 -13.6237 20.406 119.344,25,20,15,5,10,0.5
